Current;Best
1344;1344
1407;1407
1830;1830
1162;1830
1505;1830
964;1830
1742;1830
2751;2751
2973;2973
3226;3226
2635;3226
2430;3226
2446;3226
3462;3462
2936;3462
3082;3462
2969;3462
2755;3462
2988;3462
2728;3462
2535;3462
2339;3462
2725;3462
2225;3462
2990;3462
2323;3462
3071;3462
2899;3462
2948;3462
3753;3753
3695;3753
5049;5049
4852;5049
5000;5049
5161;5161
4742;5161
4205;5161
3817;5161
4083;5161
3474;5161
3595;5161
4541;5161
4450;5161
4476;5161
4359;5161
4988;5161
4774;5161
4205;5161
4204;5161
4069;5161
3605;5161
3919;5161
4053;5161
4419;5161
4352;5161
5052;5161
5487;5487
5618;5618
5942;5942
5827;5942
6012;6012
6718;6718
6718;6718
6727;6727
6520;6727
6017;6727
6351;6727
6154;6727
6159;6727
6262;6727
6147;6727
6238;6727
5781;6727
5988;6727
5848;6727
5658;6727
5241;6727
5856;6727
5693;6727
5422;6727
5156;6727
5161;6727
4778;6727
5249;6727
5303;6727
5089;6727
4713;6727
4895;6727
4389;6727
3824;6727
3848;6727
4048;6727
3936;6727
3867;6727
3645;6727
3269;6727
2480;6727
2387;6727
4022;6727
4542;6727
4756;6727
4790;6727
4627;6727
4395;6727
4366;6727
4501;6727
4570;6727
4304;6727
3750;6727
3637;6727
4318;6727
4634;6727
3952;6727
4147;6727
3957;6727
3806;6727
3479;6727
3327;6727
2911;6727
3087;6727
4076;6727
3485;6727
4092;6727
4558;6727
5397;6727
5299;6727
5061;6727
4741;6727
4385;6727
4339;6727
5401;6727
4995;6727
4773;6727
5531;6727
5374;6727
5258;6727
4991;6727
5244;6727
5264;6727
5033;6727
5338;6727
5313;6727
5535;6727
5537;6727
6522;6727
7215;7215
6715;7215
6502;7215
6610;7215
6254;7215
6046;7215
5739;7215
6291;7215
5682;7215
6103;7215
6206;7215
6160;7215
6023;7215
6757;7215
6626;7215
6192;7215
6183;7215
5990;7215
6189;7215
6222;7215
5846;7215
5743;7215
5673;7215
5918;7215
5218;7215
5478;7215
5072;7215
4777;7215
4660;7215
4669;7215
4588;7215
4436;7215
4366;7215
4169;7215
3775;7215
3812;7215
3934;7215
4725;7215
4608;7215
4189;7215
4118;7215
4070;7215
4426;7215
4680;7215
4766;7215
4812;7215
4640;7215
4731;7215
4480;7215
5572;7215
5670;7215
5238;7215
4781;7215
4878;7215
4674;7215
4997;7215
5020;7215
5919;7215
5852;7215
5658;7215
6073;7215
6162;7215
6957;7215
6581;7215
6524;7215
6081;7215
5950;7215
5926;7215
5520;7215
5874;7215
5673;7215
5584;7215
5946;7215
5965;7215
5698;7215
5476;7215
5614;7215
5865;7215
6129;7215
6426;7215
6629;7215
6060;7215
5859;7215
5290;7215
5711;7215
5142;7215
4533;7215
5082;7215
4922;7215
5576;7215
5843;7215
5627;7215
5897;7215
5747;7215
5328;7215
4965;7215
4942;7215
4933;7215
5710;7215
5291;7215
4863;7215
