Current;Best
3680;3680
4427;4427
5110;5110
5995;5995
7126;7126
8084;8084
9049;9049
9604;9604
10274;10274
10253;10274
10499;10499
10696;10696
11595;11595
12577;12577
13265;13265
14106;14106
15176;15176
15824;15824
16478;16478
16999;16999
17136;17136
17265;17265
17770;17770
18275;18275
18906;18906
19582;19582
19740;19740
20430;20430
21398;21398
22401;22401
22489;22489
23660;23660
24021;24021
24887;24887
25792;25792
25771;25792
25965;25965
26399;26399
26341;26399
26804;26804
27680;27680
27462;27680
27541;27680
28638;28638
29131;29131
29019;29131
29190;29190
29531;29531
29471;29531
29688;29688
30081;30081
30420;30420
30716;30716
30986;30986
31195;31195
30751;31195
30965;31195
31019;31195
31124;31195
31307;31307
31609;31609
31533;31609
31729;31729
32155;32155
32172;32172
32535;32535
32837;32837
32729;32837
32943;32943
33418;33418
33066;33418
33476;33476
33411;33476
33727;33727
33581;33727
33716;33727
33992;33992
34132;34132
34409;34409
34386;34409
34364;34409
34965;34965
35348;35348
35408;35408
35891;35891
35868;35891
35985;35985
35788;35985
36149;36149
36147;36149
36704;36704
36875;36875
37298;37298
37517;37517
37668;37668
37817;37817
38024;38024
38901;38901
39089;39089
40055;40055
39983;40055
40082;40082
40493;40493
40423;40493
40321;40493
40138;40493
40206;40493
40073;40493
40352;40493
40356;40493
40477;40493
40940;40940
40807;40940
40736;40940
41402;41402
41667;41667
42162;42162
42382;42382
42740;42740
42638;42740
42517;42740
42850;42850
42942;42942
42724;42942
42341;42942
42067;42942
42030;42942
41877;42942
41604;42942
41486;42942
41093;42942
41255;42942
40755;42942
40612;42942
40813;42942
40687;42942
40571;42942
41036;42942
41336;42942
40960;42942
40767;42942
40850;42942
41131;42942
41211;42942
41079;42942
41089;42942
40954;42942
40759;42942
40468;42942
40662;42942
40855;42942
40681;42942
41010;42942
41174;42942
41647;42942
41654;42942
41496;42942
41208;42942
41024;42942
41258;42942
41310;42942
41234;42942
41953;42942
42385;42942
42381;42942
43002;43002
42978;43002
43924;43924
43717;43924
43710;43924
43662;43924
43571;43924
44003;44003
44089;44089
43821;44089
43753;44089
43863;44089
43601;44089
43533;44089
43737;44089
43391;44089
43206;44089
43180;44089
42993;44089
42876;44089
43167;44089
42926;44089
43112;44089
43525;44089
43568;44089
43326;44089
43143;44089
43009;44089
43048;44089
43146;44089
42843;44089
42856;44089
43461;44089
43056;44089
43369;44089
43096;44089
42935;44089
43658;44089
43590;44089
43381;44089
43353;44089
43398;44089
43394;44089
43751;44089
43764;44089
43848;44089
44388;44388
44193;44388
43980;44388
44966;44966
44706;44966
44704;44966
44509;44966
44472;44966
45147;45147
44874;45147
44827;45147
44694;45147
44574;45147
44520;45147
44654;45147
44841;45147
44637;45147
44708;45147
44879;45147
45147;45147
45035;45147
45280;45280
45137;45280
45152;45280
45207;45280
45032;45280
45503;45503
45483;45503
45380;45503
45953;45953
45947;45953
45921;45953
46140;46140
45620;46140
45723;46140
45833;46140
45741;46140
45268;46140
45204;46140
44667;46140
44688;46140
44695;46140
44516;46140
43947;46140
43525;46140
43316;46140
43035;46140
43097;46140
43263;46140
42806;46140
42827;46140
42870;46140
42666;46140
42779;46140
42668;46140
42547;46140
43155;46140
42969;46140
42598;46140
42840;46140
42498;46140
42776;46140
43074;46140
43072;46140
42847;46140
42741;46140
42578;46140
42287;46140
42323;46140
42564;46140
42552;46140
42969;46140
43235;46140
43473;46140
44003;46140
43921;46140
43996;46140
44131;46140
43921;46140
44286;46140
44125;46140
44404;46140
44348;46140
44217;46140
43867;46140
43792;46140
43656;46140
43686;46140
43545;46140
43364;46140
43420;46140
43357;46140
43436;46140
43195;46140
42972;46140
42958;46140
42626;46140
42784;46140
43096;46140
43034;46140
42699;46140
42904;46140
42839;46140
42674;46140
42671;46140
43161;46140
42895;46140
42922;46140
42783;46140
43069;46140
42966;46140
43054;46140
43265;46140
43038;46140
42829;46140
42915;46140
42442;46140
42756;46140
43135;46140
42874;46140
43034;46140
42680;46140
43129;46140
43870;46140
43507;46140
43325;46140
43144;46140
43261;46140
42866;46140
43006;46140
43422;46140
43619;46140
43504;46140
